質問,A,B,C,D,正解,正解
ザンビーニ・ブラザーズの長男の名前は何？,プリモ,アントニオ,エンリコ,カルメロ,プリモ,A
ザンビーニ・ブラザーズの次男の名前は何？,プリモ,アントニオ,エンリコ,カルメロ,アントニオ,B
ザンビーニ・ブラザーズの三男の名前は何？,プリモ,アントニオ,エンリコ,カルメロ,エンリコ,C
ザンビーニ・ブラザーズ・リストランテは元々何と何の製造所？,ビールと生ハム,ビールとオリーブオイル,ワインと生ハム,ワインとオリーブオイル,ワインとオリーブオイル,D
ドックサイドダイナーは何を改装して作られたレストラン？,船,貨物ターミナル,倉庫,工場,貨物ターミナル,B
グランマ・サラのキッチンのさらおばあちゃんの動物の種類は何？,ジャコウネズミ,ドブネズミ,ハツカネズミ,クマネズミ,ジャコウネズミ,A
グランマ・サラのキッチンを建てたのは誰？,ハタオリドリカップル,ラビットガールズ,スクワロルーズ,ビーバーブラザーズ,ビーバーブラザーズ,D
ヴォルケイニア・レストランは何を利用して料理を作っている？,火力,水力,地熱,風力,地熱,C
ザンビーニ・ブラザーズ・リストランテの近くにある葡萄畑を通る小道の名前「ヴィア・デッレ・ヴィティ」はどういう意味？,葡萄蔓,葡萄道,阿列布道,橄欖油,葡萄蔓,A
“OUR PRICES WON’T BLOW YOU AWAY”と書かれている建築会社は誰が運営する会社？,ビッグ・バッド・ウルフ,ティンカー・ベル,三人の騎士,三匹のこぶた,三匹のこぶた,D
パン・ギャラティック・ピザ・ポートのマネージャーは誰？,トニー・ウミローニ,トニー・ソラローニ,トニー・リクロー二,トニー・ヤマローニ,トニー・ソラローニ,B
トニー・ソラローニが操作しているPZ-5000 ピザ製造マシンの5000はどこで1日に作れるピザの枚数を表している？,地球,火星,土星,木星,土星,C
グリブ・グロブレーターは何を作る機械？,トマトソース,チーズ,ピザ生地,具材,ピザ生地,C
送風機でピザ生地を丸く平らな形に整え、厚さが均一になるようにトスする機械の名前は何？,グリップ・フロブレーター,ブロアー・フロブレーター,ファン・フロブレーター,フリップ・フロブレーター,フリップ・フロブレーター,D
カリブの海賊のアトラクションでゲストがボートに乗り込む乗船場の名前は何？,ジャック・スパロウ,ジャン・ラフィート,デイヴィ・ジョーンズ,アダム・ボールドリッジ,ジャン・ラフィート,B
ファンタスティック・フライト・ミュージアムの初代館長は誰？,チェッリーノ・ファルコ,カメリア・ファルコ,ジュリアーナ・ファルコ,アレッタ・ファルコ,チェッリーノ・ファルコ,A
メディテレーニアンハーバーとアメリカンヲーターフロントを結ぶ橋の名前は何？,ポンテ・デッラルティスタ,イソラ・デル・ゴンドリエーレ,ポンテ・ヴェッキオ,ポンテ・デイ・ベンヴェーヌティ,ポンテ・デイ・ベンヴェーヌティ,D
リストランテ・ディ・カナレットのカナレットの名前の由来になった人物は誰？,ジョヴァンニ・アントニオ・カナル,ルカ・カルレヴァリス,ジョバンニ・カンティ,ニッコロ・カッサーナ,ジョヴァンニ・アントニオ・カナル,A
ホーンテッドマンションのすべての亡霊が記録されている本の名前は何？,ゴーストヒストリー,ゴーストレジストリー,ゴーストストーリー,ゴーストタイトル,ゴーストレジストリー,B
ホーンテッドマンションの乗り物の名前は何？,ドリームバギー,ドームバギー,ドゥームバギー,ドリーミングバギー,ドゥームバギー,C
ホーンテッドマンションの建設社は誰？,ブルガリアスター,ブルガマイスター,ブルガリアマイスター,ブルガスター,ブルガマイスター,B
アラビアンコーストは誰の願いによってジーニーが作った街？,アラジン,ジャスミン,サルタン王,ジャファー,サルタン王,C
アラビアンコーストにあるジャスミンのタイル絵は誰が作ったもの？,住民,アラジン,サルタン王,ジーニー,住民,A
東京ディズニーランドのエインエントランスの建築様式は何？,チューダー朝様式,スチュアート様式,ジョージ王朝様式,ヴィクトリア朝様式,ヴィクトリア朝様式,D
スプラッシュ・マウンテンのかつての呼び名は何？,テンピンヒル,テンヒンンヒル,チカヒンヒル,チカピンヒル,チカピンヒル,D
ロストリバーデルタのジャングルに物資を運んでいたパイロットたちは自分たちをなんと呼んでいた？,ピラニア航空,ジャガー航空,オラウータン航空,コウモリ航空,ピラニア航空,A
ウエスタンランドにある自然保護区行きのキャンプ場、キャンプ・ウッドチャックに生息している非常に珍しい鳥の名前は何？,テッタートイル・バード,ティッタートゥイル・バード,テイタートゥーイル・バード,ティッタ・トーイル・バード,ティッタートゥイル・バード,B
ミッキーマウスが宇宙探査中に発見した小さな惑星の名前は何？,プラネットK,プラネットL,プラネットM,プラネットN,プラネットM,C
キャラバンカルーセルのジーニーの色にない色はどれ？,青,紫,緑,赤,赤,D
豪華客船S.S.コロンビア号を所有、運航する船会社U.S.スチームシップカンパニーのオーナーは誰？,コーネリ・エンディコ三世,コーネリアス・エンディコット三世,コーネリアス・エンディコット二世,コーネリアス・エンディコット一世,コーネリアス・エンディコット三世,B
ネモ船長が海底探査の際に使用する専用の小型潜水艇の名前は何？,ネプチューン号,ノーチラス号,アルバトロス号,ネモ号,ネプチューン号,A
ネモ船長のモットーである「モビリス、イン、モビリ」はどういう意味？,変化を持って進歩する。,変化を持って進歩する。,変化を持って変化する。,変化を持って発展する。,変化を持って変化する。,C
トゥーンタウン・ベビーセンターは誰が作った？,ドナルド,エルヴァイラ,スクルージー・マクダック,デイジー,エルヴァイラ,B
ボン・ヴォヤージュは何の形？,スーツケース,ボストンバッグ,リュックサック,ポシェット,スーツケース,A
アラビアンコーストの海辺近くに作られた、ジャスミンのお気に入りの宮殿の庭園そっくりな庭園の名前は何？,ジャスミンガーデン,プリンセスガーデン,ゴールドガーデン,ロイヤルガーデン,ロイヤルガーデン,D
アメリカンウォーターフロントの地面にあるレールは何が走る？,車,トロリー,汽車,船,トロリー,B
アメリカンウォーターフロントで直接見ることは出来ないが、走っている乗り物は何？,飛行機,タクシー,地下鉄,トラック,地下鉄,C
